f(x): 8.421594088903143	x1: -2.4071872669796868	x2: 3.3819091922616056	
f(x): 8.38791028191627	x1: -2.4014255143415943	x2: 3.376069455629773	
f(x): 8.354361340134009	x1: -2.395675383416388	x2: 3.3702413469500447	
f(x): 8.320946723552666	x1: -2.3899368509078727	x2: 3.364424842925727	
f(x): 8.287665894330743	x1: -2.3842098935665383	x2: 3.358619920306811	
f(x): 8.254518316780272	x1: -2.378494488189469	x2: 3.352826555889881	
f(x): 8.221503457358198	x1: -2.372790611620249	x2: 3.3470447265180225	
f(x): 8.188620784657791	x1: -2.3670982407488674	x2: 3.341274409080726	
f(x): 8.155869769400091	x1: -2.3614173525116287	x2: 3.3355155805137966	
f(x): 8.123249884425388	x1: -2.3557479238910566	x2: 3.329768217799259	
f(x): 8.090760604684734	x1: -2.3500899319158037	x2: 3.324032297965267	
f(x): 8.058401407231493	x1: -2.344443353660558	x2: 3.3183077980860096	
f(x): 8.02617177121293	x1: -2.33880816624595	x2: 3.312594695281619	
f(x): 7.994071177861812	x1: -2.333184346838463	x2: 3.3068929667180793	
f(x): 7.962099110488074	x1: -2.327571872650339	x2: 3.3012025896071338	
f(x): 7.930255054470494	x1: -2.321970720939487	x2: 3.295523541206193	
f(x): 7.898538497248403	x1: -2.316380869009394	x2: 3.289855798818244	
f(x): 7.866948928313448	x1: -2.3108022942090294	x2: 3.2841993397917597	
f(x): 7.835485839201367	x1: -2.3052349739327584	x2: 3.2785541415206056	
f(x): 7.804148723483805	x1: -2.299678885620248	x2: 3.27292018144395	
f(x): 7.77293707676016	x1: -2.294134006756377	x2: 3.2672974370461736	
f(x): 7.741850396649465	x1: -2.2886003148711462	x2: 3.2616858858567785	
f(x): 7.710888182782309	x1: -2.2830777875395865	x2: 3.2560855054502973	
f(x): 7.680049936792772	x1: -2.27756640238167	x2: 3.2504962734462035	
f(x): 7.649335162310404	x1: -2.272066137062219	x2: 3.2449181675088212	
f(x): 7.618743364952242	x1: -2.266576969290817	x2: 3.2393511653472356	
f(x): 7.588274052314849	x1: -2.261098876821718	x2: 3.2337952447152025	
f(x): 7.557926733966383	x1: -2.255631837453758	x2: 3.22825038341106	
f(x): 7.527700921438712	x1: -2.250175829030265	x2: 3.222716559277637	
f(x): 7.497596128219543	x1: -2.244730829438969	x2: 3.2171937502021666	
f(x): 7.467611869744593	x1: -2.2392968166119163	x2: 3.2116819341161955	
f(x): 7.437747663389789	x1: -2.233873768525376	x2: 3.206181088995496	
f(x): 7.408003028463506	x1: -2.2284616631997545	x2: 3.200691192859976	
f(x): 7.378377486198815	x1: -2.223060478699507	x2: 3.195212223773593	
f(x): 7.348870559745793	x1: -2.2176701931330483	x2: 3.1897441598442637	
f(x): 7.319481774163838	x1: -2.2122907846526645	x2: 3.184286979223776	
f(x): 7.290210656414017	x1: -2.206922231454426	x2: 3.1788406601077024	
f(x): 7.261056735351473	x1: -2.2015645117780984	x2: 3.1734051807353114	
f(x): 7.232019541717817	x1: -2.196217603907057	x2: 3.1679805193894803	
f(x): 7.203098608133592	x1: -2.190881486168198	x2: 3.1625666543966067	
f(x): 7.174293469090742	x1: -2.1855561369318504	x2: 3.157163564126523	
